"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","scrape_timestamp"
"in-ab8c65ec5944c91f","indeed","https://www.indeed.com/viewjob?jk=ab8c65ec5944c91f","https://grnh.se/0843eb108us","Software Engineer 1 - DevOps","Captivation Software","Annapolis Junction, MD, US","2024-11-08","","direct_data","yearly",130000.0,270000.0,"USD",False,"","","","","**Build to something to be proud of.**
======================================



Captivation has built a reputation on providing customers exactly what is needed in a timely manner. Our team of engineers take pride in what they develop and constantly innovate to provide the best solution. Captivation is looking for software developers who can get stuff done while making a difference in support of the mission to protect our country.

**Description**
===============



Captivation Software is looking for a entry level software engineer who shall be part of a team responsible for implementing a Zero\-touch provisioning (ZTP) solution as part of an Infrastructure as a Service (IaaS) for complex High Performance Computing Systems. This is a DevOps position. The Software Engineer shall develop Ansible playbooks to create complex and diverse infrastructure as code.

  


**Requirements**
================


### **Security Clearance:**


* Must currently hold a Top Secret/SCI U.S. Government security clearance with a favorable Polygraph, therefore all candidates must be a U.S. citizen

### **Minimum Qualifications:**


* Master's degree in Computer Science or related discipline from an accredited college or university.
* Bachelor's degree in Computer Science or related discipline from an accredited college or university, plus two (2\) years of experience as a SWE, in programs and contracts of similar scope, type, and complexity
* Four (4\) years of experience as a SWE, in programs and contracts of similar scope, type, and complexity.

### **Required Skills:**


* Experience using the Linux CLI
* Experience developing scripts using Bash
* Experience developing with multiple programming languages such as Python and Java
* Experience with IaC principles and automation tools including Ansible
* Experience with CI/CD principles, methodologies, and tools such as GitLab CI
* Experience with Git Source Control System

### **Desired Skills:**


* Experience with containerization technologies such as Docker
* Experience with the Atlassian Tool Suite (JIRA, Confluence)
* Experience with SQL technologies such as PostgreSQL, MySQL, and MariaDB
* Experience with designing, implementing, and consuming REST APIs

  


***This position is open for direct hires only. We will not consider candidates from third party staffing/recruiting firms.***

**Benefits**
============


* Annual Salary: $130,000 \- $270,000 (Depends on the Years of Experience)
* Up to 20% 401k contribution (No Matching Required and Vested from Day 1\)
* Above Market Hourly Rates
* $3,200 HSA Contribution
* 5 Weeks Paid Time Off
* Company Paid Employee Medical/Dental/Vision Insurance/Life Insurance/Short\-Term \& Long\-Term Disability/AD\&D","","https://www.indeed.com/cmp/Captivation-Software","","https://www.captivationsoftware.com","Baltimore","11 to 50","","","2024-11-08T22:49:25.817603"
"in-eb475557273694dc","indeed","https://www.indeed.com/viewjob?jk=eb475557273694dc","https://grnh.se/c62901f31us","Software Engineering Intern (Undergraduate)","HashiCorp","San Francisco, CA, US","2024-11-08","internship","direct_data","hourly",32.0,37.0,"USD",True,"","","","","**About the Role**
------------------



This role is for a Software Engineering Intern on one of the Vault, Terraform, or Cloud teams here at HashiCorp.



We build the **Infrastructure Cloud** which allows enterprises to take a unified approach to Infrastructure and Security Lifecycle Management:



Infrastructure Lifecycle Management: Build / Deploy / Manage


* Terraform allows you to use infrastructure as code to provision and manage any infrastructure across your organization.
* Packer standardizes image workflows across cloud providers, allowing teams to build, govern and manage any image for any cloud.
* Waypoint makes infrastructure easily accessible at scale, enabling platform teams to deliver golden patterns and workflows with an internal developer platform.
* Nomad brings modern application scheduling to any type of software, allowing you to manage containers, binaries and VMs efficiently in the cloud, on\-premises and across edge environments.
* Vagrant isolates dependencies and their configuration within a single disposable and consistent development environment.


Security Lifecycle Management: Protect / Inspect / Connect


* Vault provides organizations with identity\-based security to automatically authenticate and authorize access to secrets and other sensitive data.
* Boundary standardizes secure remote access across dynamic environments, allowing organizations to connect users and manage access with identity\-based security controls.
* Consul standardizes service networking, allowing you to discover and securely connect any service across any runtime with identity\-based service networking.


We deliver the **Infrastructure Cloud** through an enterprise\-grade unified SaaS platform, HCP, as well as to enterprises through self\-managed options.



Across product engineering and platform engineering teams, HashiCorp is looking for great engineering interns to come join us in developing the Infrastructure Cloud!


**In this role, you can expect to learn how to...**
---------------------------------------------------


* Contribute to the HashiCorp community by providing code review, and support to HashiCorp employees, community members, and partners
* Advocate and support improvements to product APIs and core to improve development and integration of tools and plugins
* Build and architect systems for managing extremely large\-scale global fleets of resources
* Work on issues and improvements critical to the success of HashiCorp customers and the broader community
* Own the full lifecycle of feature development from design through testing and release
* Program in Golang, learning from and contributing to a team committed to continually improving their skills

**What you'll need (basic qualifications)**
-------------------------------------------


* Are currently pursuing a bachelor's degree in Engineering, Computer Science or equivalent training in the United States
* Have academic or experience working in a professional environment
* Have some proficiency in Go, Python, Java, or C\+\+ or similar programming language
* Have fundamental knowledge in security, distributed systems, service oriented architectures or schedulers
* Have excellent analytical and problem\-solving skills
* Have the ability to work in a fast paced, team\-based environment
* Are a creative problem\-solver who also understands real\-world products
* Have the constant desire to grow, learn, and explore new things
* Emulate the HashiCorp principles


If you are on the fence about whether you meet our requirements, please apply anyway! If you are interested in working on a specific tool or product, please note it in your cover letter.



HashiCorp embraces diversity and equal opportunity. We are committed to building a team that represents a variety of backgrounds, perspectives, and skills. We believe the more inclusive we are, the better our company will be.","","https://www.indeed.com/cmp/Hashicorp","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/22c0f31ca0d20e18f81f5afc9a57c487","https://www.hashicorp.com","San Francisco","51 to 200","","","2024-11-08T22:49:25.817603"
"in-9138aa223af46712","indeed","https://www.indeed.com/viewjob?jk=9138aa223af46712","https://recruiting2.ultipro.com/GOO1038GOMN/JobBoard/54e3ee41-9272-43f0-bf1f-a6820d6c14ce/OpportunityDetail?opportunityId=38afe6dc-5033-4a5c-a402-25d91ec62552&postingId=77d116b4-13d7-4166-a1f8-457a45395e93","GMC TEMPORARY SOFTWARE DEV","","Chatsworth, CA, US","2024-11-08","fulltime","direct_data","yearly",78126.0,98925.0,"USD",False,"","","","","The Controls Software Developer Intern/Co\-op reports into our Controls Engineering department to work with a team of dedicated Software Developers for the design, development, and unit testing of Daikin thermostat software, web applications and mobile apps (Android and iOS) for Daikin’s HVAC Controls products. This is a great opportunity to further develop skills/knowledge with on the job training.
  
  

Position Responsibilities may include;
  
  

Design, develop, test, and maintain web, controls and mobile applications
  
  

Create web and mobile application proof of concepts for client consideration
  
  

Research and recommend development tools and techniques
  
  

Participate in the transition of technology solutions from investigation into product development
  
  

Analyze user requirements to determine feasibility of design
  
  

Analyze, debug, and resolve software issues
  
  

Evaluate competitive products / systems
  
  

Participate in additional activities/projects to support business needs
  
  

**Nature and Scope:**  

Takes direction from lead
  
  

Works within well defined instructions
  
  

**Knowledge and Skills:**  

Knowledge of OO programming languages, such as Java, C\+\+ and Python
  
  

Knowledge of agile development practices and front\-end web development
  
  

Knowledge of web software design and development, esp. in Front\-End UI development, security, authentication
  
  

Familiarity with public clouds – MS Azure, Amazon Web Services, Google Cloud Platform
  
  

Ability to learn new programming languages and technologies
  
  

Working knowledge of MS Office – Outlook, Excel, Word, PowerPoint
  
  

Good attention to detail, accuracy, analytical and problem solving skills
  
  

Excellent written and verbal communications skills including listening and questioning skills
  
  

Effective organizational and time management skills
  
  

Ability to collaborate with teams
  
  

Ability to apply strong work ethics and integrity on the job
  
  

**Experience:**  

1 to 2 years of training/college
  
  

**Education:**  

Actively pursuing a Bachelors of Science in Computer Science, Software Development or Electrical Engineering
  
  

People Management; No
  
  

**Physical Requirements / Working Environment:**  

Must be able to perform essential responsibilities with or without reasonable accommodations.
  
  

**Reports to:**  

Director, VRV Controls
  
  

**Salary:**  

Qualified Applicants must be legally authorized for employment in the United States. Qualified applicants will not require employer sponsored work authorization now or in the future for employment in the United States.
  
  

The Company provides equal employment opportunity to all employees and applicants regardless of a person’s race, color, religion (including religious dress or grooming practices), creed, national origin (including language use restrictions), citizenship, uniform service member or veteran status, ancestry, disability, physical or mental disability (including HIV/AIDS), medical condition (including cancer and genetic characteristics), genetic information, request for protected leave, marital status, sex, pregnancy, age (over 40\), sexual orientation, gender, gender identity or expression, political affiliation, or any other characteristic protected by law. The Company will comply with all federal and state regulations and statutes pertaining to individuals with disabilities.","","","","","","","","","2024-11-08T22:49:25.817603"
"in-7dea4bb43f63780e","indeed","https://www.indeed.com/viewjob?jk=7dea4bb43f63780e","https://jobs.carrier.com/job/-/-/29289/72579361136","Software Engineering Intern - Summer","Carrier","East Syracuse, NY, US","2024-11-08","fulltime","direct_data","yearly",41000.0,96450.0,"USD",False,"","","","","**Country:**

United States of America**Location:**

CANHQ: CCS HQ \- Syracuse, NY 6304 Carrier Parkway , East Syracuse, NY, 13057 USA**About Carrier**

**Carrier Global Corporation, a global leader in intelligent climate and energy solutions, is committed to creating solutions that matter for people and our planet for generations to come. From the beginning we’ve led in inventing new technologies and entirely new industries. Today, we continue to lead because we have a world\-class, diverse workforce that puts the customer at the center of everything we do.**

 **Role Responsibilities:**

* **Design and develop cloud\-based software applications and components in various software languages**
* **Participate in Agile/Scrum software development process**
* **Analyze software requirements and create solutions for them**

**Role Purpose:**

* **Develop cloud\-based application for Carrier’s commercial HVAC sales force**
* **Perform full stack software development activities as part of a scrum team**

 **Basic Qualifications:**

* **Must be currently pursuing a bachelor’s degree (or higher) in Computer Science or Software Engineering.**
* **Must have an overall GPA of 3\.0 or higher.**
* **Must be eligible to work in the US without sponsorship.**

 **Preferred Qualifications**

* **Proficiency with C\# or ReactJS**
* **Understanding of object\-oriented design and analysis (OOD and OOA)**
* **Experience with software development principles and processes**
* **Familiarity with web\-based tools and architecture**
* **Strong organizational, analytical, and problem\-solving skills**
* **Self\-driven and proactive**
* **Ability to communicate effectively at all levels**
* **Relevant coursework or previous internships preferred**

  

\#EarlyCareers


RSRCAR  

\#LI\-onsite

**Pay Range:**


$41,000 \- $96,450 Annually***Carrier is An Equal*** ***Opportunity/Affirmative*** ***Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status, age or any other federally protected class.***

**Job Applicant's Privacy Notice:**


Click on this link to read the Job Applicant's Privacy Notice","","https://www.indeed.com/cmp/Carrier","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/0c11e24be2a4f0ffb591a56f931970ad","https://corporate.carrier.com","Palm Beach Gardens, FL","10,000+","more than $10B (USD)","Carrier is the world’s leader in high-technology heating, air-conditioning and refrigeration solutions","2024-11-08T22:49:25.817603"
"in-9dc3dd672e4e02fb","indeed","https://www.indeed.com/viewjob?jk=9dc3dd672e4e02fb","https://click.appcast.io/track/l2ttmin-org?cs=9r","Software Engineering Intern (For Summer 2024 Interns Only)","SNC","Hagerstown, MD, US","2024-11-08","parttime","direct_data","yearly",51467.0,65168.0,"USD",False,"","","","","Come start your career with some of the brightest and most innovative minds in the country. Get your hands on actual projects, and at the same time, prepare for a truly awesome career in aerospace and defense. This is not your parent’s internship program – you won’t be getting coffee and ordering lunch. Our Interns have the unique experience of getting both mentoring and coaching while working side by side with recognized industry experts on real\-world assignments directly related to their field of study. Bring your knowledge and desire to learn, and we will provide the experience. Summer internships are typically 10\-12 weeks starting in late May/early June and work an average of 40 hours a week. Depending on satisfactory completion of certain criteria during your internship, you may be considered for a full\-time position upon graduation. As a Technical Intern, you'll ask questions, get involved, bring your ideas, be part of an actual project team, attend planning meetings, complete assignments as tasked by your team, absorb and learn from your team and apply that learning to projects assigned. You'll have the opportunity to learn fundamental business processes and procedures, build your technical foundation through practice and mentorship, and participate in an in\-depth program built by our University Recruiting team, that includes cross\-functional workshops and meeting with leadership to gain understanding of the business and SNC culture.
The Mission Solutions and Technologies (MST) business area provides affordable, turn\-key command/control, communications, integrated ISR, force protection and security solutions worldwide. The MST team has a long legacy of supporting the Department of Defense, Department of Homeland Security, commercial and international customers with years of experience in platform operations, engineering and full lifecycle management across domains – air, land, sea, space and cyber. Learn more about MST

 **Must\-haves:**

* Must be a Sophomore, Junior or Senior in college or technical school, with at least 6 months until graduation after end of internship
* Degree related to Software Engineering
* Strong skills in Word, Excel, PowerPoint and Visio
* Ability to work in a highly collaborative team environment
* Strong organization skills and work ethic; detail oriented

**Preferred:**

* Microsoft Access skills
* Pursuing a degree in engineering or a related discipline


At Sierra Nevada Corporation (SNC) we deliver customer\-focused technology and best\-of\-breed integrations in the aerospace and defense sectors. SNC has been honored as one of the most innovative U.S. companies in space, a Tier One Superior Supplier for the U.S. Air Force, and as one of America’s fastest\-growing companies. Learn more about SNC


SNC offers a generous benefit package, including medical, dental, and vision plans, 401(k) with 150% match up to 6%, life insurance, 3 weeks paid time off, tuition reimbursement, and more.

**IMPORTANT NOTICE:**

To conform to U.S. Government international trade regulations, applicant must be a U.S. Citizen, lawful permanent resident of the U.S., protected individual as defined by 8 U.S.C. 1324b(a)(3\), or eligible to obtain the required authorizations from the U.S. Department of State or U.S. Department of Commerce.
Learn more about the background check process for Security Clearances.


SNC is a global leader in aerospace and national security committed to moving the American Dream forward. We’re known and respected for our mission and execution focus, agility, and disruptive and rapid innovation. We provide leading edge technologies and transformative solutions that support our nation’s most critical security needs. If you are mission\-focused, thrive in collaborative environments, and want to make our country stronger with state\-of\-the\-art technologies that safeguard freedom, join our team!


As an Equal Opportunity Employer, we welcome our employees to bring their whole selves to their work. SNC is committed to fostering an inclusive, accepting, and diverse environment free of discrimination. Employment decisions are made without regarding to race, color, age, religion, sex, sexual orientation, gender identity, national origin, disability, status as a protected veteran or other characteristics protected by law. Contributions to SNC come in many shapes and styles, and we believe diversity in our workforce fosters new and greater ways to dream, innovate, and inspire.","","https://www.indeed.com/cmp/Snc-91572484","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/85292b4f5c694b1f0b910642964c0ec7","https://www.sncorp.com","Sparks, NV","5,001 to 10,000","Decline to state","Safeguarding our freedom and inspiring the next generation to make a lasting impact on humanity through technology and imagination.","2024-11-08T22:49:25.817603"
"in-fe47517065b67777","indeed","https://www.indeed.com/viewjob?jk=fe47517065b67777","https://grnh.se/914b6d3b1us","Software Engineering Intern (Undergraduate)","HashiCorp","Austin, TX, US","2024-11-08","internship","direct_data","hourly",32.0,37.0,"USD",True,"","","","","**About the Role**
------------------



This role is for a Software Engineering Intern on one of the Vault, Terraform, or Cloud teams here at HashiCorp.



We build the Infrastructure Cloud which allows enterprises to take a unified approach to Infrastructure and Security Lifecycle Management:



Infrastructure Lifecycle Management: Build / Deploy / Manage


* Terraform allows you to use infrastructure as code to provision and manage any infrastructure across your organization.
* Packer standardizes image workflows across cloud providers, allowing teams to build, govern and manage any image for any cloud.
* Waypoint makes infrastructure easily accessible at scale, enabling platform teams to deliver golden patterns and workflows with an internal developer platform.
* Nomad brings modern application scheduling to any type of software, allowing you to manage containers, binaries and VMs efficiently in the cloud, on\-premises and across edge environments.
* Vagrant isolates dependencies and their configuration within a single disposable and consistent development environment.


Security Lifecycle Management: Protect / Inspect / Connect


* Vault provides organizations with identity\-based security to automatically authenticate and authorize access to secrets and other sensitive data.
* Boundary standardizes secure remote access across dynamic environments, allowing organizations to connect users and manage access with identity\-based security controls.
* Consul standardizes service networking, allowing you to discover and securely connect any service across any runtime with identity\-based service networking.


We deliver the Infrastructure Cloud through an enterprise\-grade unified SaaS platform, HCP, as well as to enterprises through self\-managed options.



Across product engineering and platform engineering teams, HashiCorp is looking for great engineering interns to come join us in developing the Infrastructure Cloud!


**As a Software Engineer Intern, you can expect to learn how to...**
--------------------------------------------------------------------


* Contribute to the HashiCorp community by providing code review, and support to HashiCorp employees, community members, and partners
* Advocate and support improvements to product APIs and core to improve development and integration of tools and plugins
* Build and architect systems for managing extremely large\-scale global fleets of resources
* Work on issues and improvements critical to the success of HashiCorp customers and the broader community
* Own the full lifecycle of feature development from design through testing and release
* Program in Golang, learning from and contributing to a team committed to continually improving their skills

**What you'll need (basic qualifications)**
-------------------------------------------


* Currently pursuing a bachelor's degree in Engineering, Computer Science or equivalent training in the United States
* Have academic or experience working in a professional environment
* Have some proficiency in Go, Python, Java, or C\+\+ or similar programming language
* Have fundamental knowledge in security, distributed systems, service oriented architectures or schedulers
* Have excellent analytical and problem\-solving skills
* Have the ability to work in a fast paced, team\-based environment
* Are a creative problem\-solver who also understands real\-world products
* Have the constant desire to grow, learn, and explore new things
* Emulate the HashiCorp principles


If you are on the fence about whether you meet our requirements, please apply anyway! If you are interested in working on a specific tool or product, please note it in your cover letter.","","https://www.indeed.com/cmp/Hashicorp","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/22c0f31ca0d20e18f81f5afc9a57c487","https://www.hashicorp.com","San Francisco","51 to 200","","","2024-11-08T22:49:25.817603"
"in-5a09aa24d608a9a8","indeed","https://www.indeed.com/viewjob?jk=5a09aa24d608a9a8","https://careers-hamiltoncompany.icims.com/jobs/2848/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f","Software Engineering Intern","Hamilton Company","Reno, NV, US","2024-11-07","internship","","hourly","","","USD",False,"","","","","Company Overview: Hamilton Company is a worldwide leader in the design and manufacture of manual, semi\-automated and robotic products for precision fluid measuring. We specialize in the development, manufacturing and customization of precision measurement devices, automated liquid handling stations, and sample management systems. For more than 60 years, Hamilton has been satisfying customer needs by combining quality materials with skilled workmanship, ensuring the highest level of performance of every precision fluid measuring device we manufacture. Responsibilities:

Hamilton Company is seeking a Software Engineering Intern to join the R\&D team in building state of the art software for our precise liquid handling robots. The position entails supporting team in writing automated testing for development of software and becoming an expert in use of product software to support customers when they encounter issues. Other responsibilities include:

* Full stack development of new features/tools including design, documentation, implementation, and testing.
* Analysis and resolution of software defects.
* Effective communication with other departments and engineering disciplines.
* Developing project estimates and time\-lines.


Qualifications:
* C\# . NET programming experience preferred
* Entry level programming skills
* Excellent written and verbal communication skills
* Excellent problem solving skills
* Attention to detail


Education/Experience:
* Must be currently enrolled at University of Nevada, Reno.
* Majoring in Computer Science or Electrical Engineering preferred.


About Hamilton:
* Diverse portfolio of exciting and innovative design projects.
* Tremendous opportunities for professional growth and advancement.
* Commitment to sustainable design.
* Competitive Compensation.
* Excellent Benefit Package (medical, dental, vision insurance, paid time off, disability insurance, 401k, tuition reimbursement and much more).
* Solid Stable Company.
* Drug free workplace.


Mid Salary: USD $20\.00/Hr.","","https://www.indeed.com/cmp/Hamilton-Company","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/35927483bf1fc45075aa5aedb424c15a","https://www.hamiltoncompany.com/","4970 Energy Way
Reno, NV 89502 U.S.A.","","","","2024-11-08T22:49:25.817603"
"in-3439359873c52d51","indeed","https://www.indeed.com/viewjob?jk=3439359873c52d51","https://careers.leidos.com/jobs/15185010-software-engineer-intern?tm_job=R-00147572&tm_event=view&tm_company=2502","Software Engineer Intern","Leidos","Tucson, AZ, US","2024-11-07","fulltime","direct_data","yearly",44850.0,81075.0,"USD",False,"","","","","**Description**


The Intelligence Production Solutions Division (IPSD), part of the Decision Advantage Solutions Business Area, is currently seeking a Software Engineering Intern to work in our Tucson AZ office in support of the Chinook Program. The responsibilities for this position may include all aspects of the software development lifecycle, usually relating to and/or supporting current courses of collegiate study.

**Primary Responsibilities**

* Participate in peer code reviews to improve the quality of code written by other team members.
* Create new applications or updating existing applications based on user requirements.
* Communicate with customer and other team members about project status and issues that arise.
* Create prototypes of new technologies and features for potential incorporation into future products.
* Debug computer code to fix errors and improve performance.
* Test software for bugs or other issues that may affect functionality or the user experience.
* Review documentation about new technology releases or product updates to ensure understanding of how the new system works.
* Conduct research on new technologies and techniques to identify opportunities for improvement.
* Analyze data to identify trends and formulate solutions.

**Basic Qualifications**

* **US citizenship is required per contract.**
* **Ability to obtain and maintain TS/SCI with CI Poly clearance** **is required per contract.**
* High school education, or equivalent, and currently enrolled in a Bachelor’s degree program in Computer Science, Engineering, or related field.
* Experience with at least one major programming language (e.g., Java, C\+\+, Python).
* Strong understanding of object\-oriented programming concepts.
* Excellent problem solving and debugging skills.
* Ability to work independently and as part of a team.
* Strong written and verbal communication skills.

**Preferred Qualifications**

* Experience with multiple programming languages.
* Experience with software development tools (e.g., Eclipse, Visual Studio, Git).
* Experience with databases (e.g., MySQL, Oracle, MongoDB).
* Experience with web development technologies (e.g., HTML, CSS, JavaScript, PHP).

**Original Posting Date:**
--------------------------


2024\-11\-07
While subject to change based on business needs, Leidos reasonably anticipates that this job requisition will remain open for at least 3 days with an anticipated close date of no earlier than 3 days after the original posting date as listed above.

**Pay Range:**
--------------


Pay Range $44,850\.00 \- $81,075\.00
The Leidos pay range for this job level is a general guideline only and not a guarantee of compensation or salary. Additional factors considered in extending an offer include (but are not limited to) responsibilities of the job, education, experience, knowledge, skills, and abilities, as well as internal equity, alignment with market data, applicable bargaining agreement (if any), or other law.","","https://www.indeed.com/cmp/Leidos","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/a4c4725ec51d06ae791e00e585da5f6b","http://www.leidos.com","Reston, VA","10,000+","more than $10B (USD)","Leidos is a global science and technology solutions leader working to solve the world’s toughest challenges. Our 43,000 employees support vital missions for government and commercial customers.","2024-11-08T22:49:25.817603"
"in-faf68e9b505c68b8","indeed","https://www.indeed.com/viewjob?jk=faf68e9b505c68b8","https://ptc.eightfold.ai/careers?pid=137464516097&domain=ptc.com","Software Engineering Intern - Arena","PTC","San Mateo, CA, US","2024-10-11","internship","direct_data","yearly",55914.0,70800.0,"USD",False,"","","","","Our world is transforming, and PTC is leading the way. Our software brings the physical and digital worlds together, enabling companies to improve operations, create better products, and empower people in all aspects of their business.


Our people make all the difference in our success. Today, we are a global team of nearly 7,000 and our main objective is to create opportunities for our team members to explore, learn, and grow – all while seeing their ideas come to life and celebrating the differences that make us who we are and the work we do possible.


**Your Impact** : As a Platform Engineering Intern, you will work on internal projects that improve the development process and productivity. You may also work on innovative projects that could have an impact on future features in the product.  



**Your Team** : At Arena, a PTC Business, we help high tech manufacturers and medical device companies create products that change the world. Our cloud\-based product lifecycle management (PLM) and quality management (QMS) software is used by leading product innovators like Nutanix, Bio\-Rad, Sonos, Teleflex, and Citrix. Join our PTC family and you will thrive in an award\-winning workplace that fosters a work\-life balance.  



**Day\-To\-Day** :


* The position mostly involves backend development. We use Java/Scala mostly. Python is also used in some projects.
* Document the project requirements and technical design
* Develop, improve, and maintain tools used by the engineering team
* Develop, improve, and maintain features in the Arena PLM SaaS application
* Work on new innovative initiatives
* Participant in technical discussions on various topics

**Required Skills and Knowledge**

* Proven ability to solve problems in high\-pressure situations.
* Strong communication skills, both written and verbal.
* Ability to learn quickly and apply knowledge to new tasks or technologies.
* Self\-motivated, adaptable, and willing to embrace change.

**Preferred Skills and Knowledge** :


* Basic knowledge of Java programming language and build tools, such as Apache Maven
Basic knowledge of Spring Boot and its components  
* 

**Preferred Experience** :


* SaaS application development experience

At PTC, we believe in the power of diverse ideas and perspectives. As a global company that values and respects all identities, cultures, and perspectives, we strive to create an inclusive PTC for ALL through an environment where everyone feels like they belong and are empowered to bring their true, authentic selves to work. Proud to be an Equal Opportunity and Affirmative Action Employer, we welcome applicants from all backgrounds and hire without regard to race, national origin, religion, age, color, ethnicity, ancestry, marital status, sex (including pregnancy), sexual orientation, gender identity, gender expression, genetic identity, disability, veteran status, or any other characteristic protected by local, state, or federal laws, rules, or regulations.
Life at PTC is about more than working with today’s most cutting\-edge technologies to transform the physical world. It’s about showing up as you are and working alongside some of today’s most talented industry leaders to transform the world around you.


If you share our passion for problem\-solving through innovation, you’ll likely become just as passionate about the PTC experience as we are. Are you ready to explore your next career move with us?


We respect the privacy rights of individuals and are committed to handling Personal Information responsibly and in accordance with all applicable privacy and data protection laws. Review our Privacy Policy here .""","","https://www.indeed.com/cmp/Ptc-c5e4d329","https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/03f0e59d9ec76fafd533e0bf4cabe5c6","http://www.ptc.com","Boston, MA","5,001 to 10,000","$1B to $5B (USD)","PTC has the most robust Internet of Things technology in the world. In 1986 we revolutionized digital 3D design, and in 1998 we were first to market with Internet-based PLM.","2024-11-08T22:49:25.817603"
"li-4016859880","linkedin","https://www.linkedin.com/jobs/view/4016859880","","UTG - Software Engineer Internships - Summer 2025","ServiceNow","Santa Clara, CA","","","","","","","","","","","","","","","https://www.linkedin.com/company/servicenow","","","","","","","2024-11-08T22:49:25.817603"
